,GOE,MnO2,MMT
2¦È/degree,Intensity,Intensity,Intensity
21.8188,3259,1603,3702
21.8386,3367,1723,3834
21.8583,3155,1696,3837
21.878,3270,1644,3806
21.8978,3252,1642,3708
21.9175,3185,1706,3751
21.9373,3249,1684,3723
21.957,3155,1830,3804
21.9767,3107,1680,3790
21.9965,3125,1650,3633
22.0162,3049,1725,3697
22.036,3088,1651,3812
22.0557,3094,1645,3768
22.0754,2986,1736,3603
22.0952,3025,1713,3556
22.1149,2949,1702,3717
22.1347,3047,1782,3822
22.1544,3001,1687,3765
22.1741,2918,1715,3650
22.1939,2932,1614,3668
22.2136,3001,1701,3694
22.2334,2889,1631,3799
22.2531,2960,1728,3655
22.2729,2831,1596,3752
22.2926,2938,1669,3596
22.3123,2863,1674,3788
22.3321,2898,1629,3591
22.3518,2838,1636,3782
22.3716,2834,1640,3760
22.3913,2780,1661,3654
22.411,2866,1710,3620
22.4308,2791,1590,3632
22.4505,2816,1596,3616
22.4703,2850,1643,3589
22.49,2849,1527,3584
22.5097,2790,1652,3581
22.5295,2907,1522,3576
22.5492,2844,1621,3682
22.569,2848,1562,3693
22.5887,2739,1564,3722
22.6084,2741,1512,3647
22.6282,2853,1539,3647
22.6479,2782,1484,3715
22.6677,2747,1516,3790
22.6874,2807,1506,3887
22.7071,2744,1557,3750
22.7269,2781,1488,3712
22.7466,2770,1492,3835
22.7664,2802,1466,3922
22.7861,2756,1515,3968
22.8058,2820,1513,3905
22.8256,2800,1550,4002
22.8453,2689,1433,4029
22.8651,2727,1478,3967
22.8848,2769,1405,3784
22.9045,2722,1467,3794
22.9243,2755,1404,3846
22.944,2699,1437,3821
22.9638,2752,1453,3688
22.9835,2769,1464,3718
23.0032,2692,1410,3674
23.023,2608,1424,3693
23.0427,2702,1393,3743
23.0625,2653,1462,3666
23.0822,2775,1450,3631
23.1019,2690,1468,3506
23.1217,2823,1485,3538
23.1414,2788,1452,3531
23.1612,2773,1431,3581
23.1809,2713,1387,3485
23.2006,2746,1459,3537
23.2204,2656,1453,3548
23.2401,2775,1408,3523
23.2599,2665,1356,3565
23.2796,2527,1335,3500
23.2994,2680,1343,3489
23.3191,2703,1418,3559
23.3388,2705,1317,3433
23.3586,2731,1307,3477
23.3783,2686,1359,3560
23.3981,2742,1347,3515
23.4178,2700,1403,3541
23.4375,2708,1379,3515
23.4573,2682,1320,3581
23.477,2641,1276,3576
23.4968,2700,1448,3561
23.5165,2668,1295,3596
23.5362,2745,1289,3632
23.556,2662,1360,3699
23.5757,2686,1273,3631
23.5955,2760,1310,3715
23.6152,2702,1259,3668
23.6349,2707,1274,3762
23.6547,2686,1309,3836
23.6744,2693,1278,3809
23.6942,2665,1286,3870
23.7139,2681,1246,3898
23.7336,2664,1241,3829
23.7534,2668,1253,3875
23.7731,2677,1240,3877
23.7929,2689,1207,3753
23.8126,2658,1254,3774
23.8323,2679,1269,3690
23.8521,2691,1198,3827
23.8718,2676,1269,3686
23.8916,2708,1244,3663
23.9113,2585,1200,3653
23.931,2589,1208,3588
23.9508,2623,1217,3565
23.9705,2685,1225,3555
23.9903,2666,1207,3633
24.01,2699,1180,3517
24.0297,2583,1256,3415
24.0495,2665,1220,3601
24.0692,2610,1196,3556
24.089,2684,1159,3553
24.1087,2664,1192,3518
24.1284,2740,1194,3480
24.1482,2615,1199,3518
24.1679,2631,1190,3513
24.1877,2588,1142,3586
24.2074,2649,1178,3565
24.2272,2645,1172,3526
24.2469,2657,1231,3556
24.2666,2694,1185,3503
24.2864,2624,1128,3549
24.3061,2716,1150,3444
24.3259,2633,1159,3409
24.3456,2644,1174,3446
24.3653,2688,1133,3451
24.3851,2586,1147,3549
24.4048,2661,1181,3392
24.4246,2651,1134,3342
24.4443,2720,1173,3414
24.464,2629,1120,3404
24.4838,2641,1066,3380
24.5035,2720,1090,3382
24.5233,2630,1159,3486
24.543,2687,1158,3536
24.5627,2568,1140,3454
24.5825,2688,1149,3418
